"junior" "senior" "rule"
"Microcebus_mamiratra" "Microcebus_margotmarshae" "Rule 1B"
"Mirza_zaza" "Mirza_coquereli" "Rule 2B"
"Perodicticus_edwardsi" "Perodicticus_ibeanus" "Rule 1B"
"Sciurocheirus_gabonensis" "Sciurocheirus_alleni" "Rule 2B"
"Varecia_rubra" "Varecia_variegata" "Rule 2B"
"Arctocebus_aureus" "Arctocebus_calabarensis" "Rule 2B"
"Galago_gallarum" "Galago_senegalensis" "Rule 2B"
"Aotus_brumbacki" "Aotus_vociferans" "Rule 1B"
"Aotus_griseimembra" "Aotus_lemurinus" "Rule 2B"
"Aotus_nigriceps" "Aotus_azarae" "Rule 2B"
"Semnopithecus_entellus" "Semnopithecus_hector" "Rule 1B"
"Semnopithecus_priam" "Semnopithecus_vetulus" "Rule 1B"
"Gorilla_beringei" "Gorilla_gorilla" "Rule 2B"
"Cacajao_hosomi" "Cacajao_melanocephalus" "Rule 2B"
"Callicebus_coimbrai" "Callicebus_personatus" "Rule 2B"
"Leontopithecus_chrysopygus" "Leontopithecus_rosalia" "Rule 2B"
"Pithecia_irrorata" "Pithecia_monachus" "Rule 2B"
"Palaeopropithecus_ingens" "Palaeopropithecus_maximus" "Rule 1B"
"Saimiri_collinsi" "Saimiri_ustus" "Rule 1B"
"Pan_paniscus" "Pan_troglodytes" "Rule 2B"
"Allochrocebus_preussi" "Allochrocebus_lhoesti" "Rule 2B"
"Nasalis_larvatus" "Simias_concolor" "Rule 1B"
"Procolobus_verus" "PILIOCOLOBUS" "Rule 1B"
"Pygathrix_cinerea" "Pygathrix_nemaeus" "Rule 1B"
"Trachypithecus_auratus" "Trachypithecus_mauritius" "Rule 1B"
"Trachypithecus_barbei" "Trachypithecus_obscurus" "Rule 1B"
"Trachypithecus_crepusculus" "Trachypithecus_phayrei" "Rule 1B"
"Trachypithecus_geei" "Trachypithecus_pileatus" "Rule 1B"
"Miopithecus_ogouensis" "Miopithecus_talapoin" "Rule 2B"
"Chlorocebus_tantalus" "Chlorocebus_aethiops" "Rule 2B"
"Saimiri_oerstedii" "Saimiri_sciureus" "Rule 2B"
"Lophocebus_aterrimus" "Lophocebus_albigena" "Rule 2B"
"Mandrillus_leucophaeus" "Mandrillus_sphinx" "Rule 2B"
"Cercopithecus_denti" "Cercopithecus_mona" "Rule 2B"
"Cercopithecus_doggetti" "Cercopithecus_kandti" "Rule 1B"
"Macaca_assamensis" "Macaca_thibetana" "Rule 1B"
"Macaca_leonina" "Macaca_pagensis" "Rule 1B"
"Macaca_maura" "Macaca_ochreata" "Rule 1B"
"Macaca_nigra" "Macaca_tonkeana" "Rule 1B"
