taxname=;
mxram 4096;
taxname +27;
nstates num 32;
xread
'File downloaded from graemetlloyd.com'
373 115
& [numeric]
Tupaia_spp                   00004044410000000003220204202202026120022200120240000000A0664300002004240244202021040007431002??1000000200240-020120002112100-000202010000000002001003-00-002000246030310040100000000014001030043024202021344010010102224240011264000100000001000000010010100016001022300100311001[13]00040100[024]02000000000102004000-10001100000011100110000201100?000000000???111104010001?0000000000002
Abuqatrania_basiodontos      ??0?????????????????22???????22????12004100000?260?2?000202221002221102202222000012020451101020210200??????????????????????????????????????????????????????????????????????????????0002??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Absarokius_sp                10004???????00?00???2200?410420210212004-2000202604432000A0243001220442212252010224400242421220210021??????????????????12?1?022002100000000004126020240-0-020210202000402003210000??0???????????002020220024???????22000422021122201010400?????????????????????????202212????????????????????????????????????????????????????????????????????????????????????????????????????????????
Adapis_parisiensis           10002000001402?0022300024400220004414204-200044404002022866C0-0024240524200-2022240500000-22200210040?204040120421400400121020001200020121000232202020000-00000020404000031042040242201???204203302320001024602???15303004300004[13][13]21210100???01122212100110010???010244021002000012001112??????????00300220134200100020??620001000?11011403106??00?1001????233322100001????????????0?
Aegyptopithecus_zeuxis       1000202000110220000324---400222216814224-411224240130010020C0-0104002011320-2100032020330-120202100201??????????112012613---00420220010201100412102200-00-10000000[024]02100342210140220412???2042023220202121048?????06424244400214?4110120?2???00011102102020011???????????????010000022402??????????000021110320-?110020??212111111?0?1110?0208??10?112?????164402002001????????????1?
Afradapis_longicristatus     1?01?001001102?00203230--400222216814004-204030422200020A66C0-0022222524300-3022242500020-220002100221??10400104?12?126??????120022002000100011200?020000-400100144040010310314?02224??????????????????????????????6400024410004????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????4????????????????????????
Aframonius_dieides           1?0????0?????2?0000322000421220026612014-202232420000010726A0-002235-624000-4024242500010-23000210021??????????????????1221000200202020001000412002020000-10220012402001011042240120101??????????????????????????????????????????????????????????????????????????????????????????????????????????????????2010????????????????????????????????????1?????????041?00????????????????????
Afrotarsius_spp              ?????????????????????????????2020??1?????????002?02??12?602441000200242442422000222400064112220210000???????????????????????????????????????????????2?0-0?000202206?00410000????????0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Altanius_orlovi              1?0????2????????????00???4202202026120002200000220000000224043002042242442452020222400002412000210000??????????????????01????22002000000000000122020240-0-020212204000410000420400??4????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Altiatlasius_koulchii        ??????????????????????????????????????????????????????????4141000200?4230242200022?4012??????????0200????????????????????????????????????????????2?0240-0-?00300204020?10322220?0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Amphipithecus_mogaungensis   1?0????0????????????22???2222220068120020402034220222000201C21022404-6020225210302-600260-31200210020?????????????????2????????????????????????2??2?????0-???????0?02??02???2?0200?24????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Anaptomorphus_sp             10004??0????20?10???24?????02202???12004-200020220242100264443012226442412452010224400242432220210020???????????????????????????020000000000?4126020240-0-020210202000402003210000???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Anchomomys_gaillardi         1?0????2????????????02???????20????10--4-204040420?00020A6600-002246-624220-203424-600040-14000210020????????????????????????????????????????????02022000-00000020204020002022040???10???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Anchomomys_milleri           ??0????4?????2?2000322020400220202610--4-2020200-0202022A0600-022246-6244?0-202324-6000??????????0020???????????????????????????????????????????????????????????????????????????????0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Anemorhysis_savagei          11028??4????40??????220??4002202024120021200040220224000323043002226-6244245201022-600222412200210000????????????????????????020020202000000?412202?240-0-0402002?402?4?0202220200???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Aotus_trivirgatus            100140000010020000032212042400-224704224-42222422000000003070-020304-622020-200322-600060-3222--000201244040200101100221100030400010000100000411100200-00-4000000001400020300020424041214311310431211022112440110002300244300111641101230000011011101102020011140011011002003110011023002005?100200000202420020-21000200020111111100?111022207?111111220?21114402100001?11111?1111111
Apidium_moustafai            1?0????00????2?1000322040412422006812004-0000020502400002337110122222011120-2110012031330-02020211210?????????????2?102?0100?0420220002001100012?22020010-00460020102200242202220???20???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Apidium_phiomense            1000201000140220000322042422422005812004-000002050140000221C110122202002220-1120002031430-02020211200?????20????21101121010010420210002000200012222020020-00460020102200242302320220301???2041031220222121212??1???320124430011064012122010?0????????????????1???012022022004110110123200????00????????????10????????2???202??1111?0?111??02?4??10??12?????13?4?2?0??????????????????
Arapahovius_gazini           11028044411440?20010220204?22202426140002202240240024120512242002226342442452025223400022412100210024???30420?????????2?221?022002000200000004120020240-0-030412204010400202320300????????????????????????????????10400?420021100411??0?0?2?01113320210201001????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Arctocebus_calabarensis      1010414241120001103422060400222206610--4-204020110202022806?0-002222-624410-202224-600030-220002100000002022000211310221121200200220020100200432002010000-200000204030001420101200200010050240144204202003216?0211161240444100044021202110?0?0114320201111001?2080102440200101000030030031164000612002012210220-1100010114000?020200?11202200?1001010220022[13]33111011210100000??????0?
Arsinoea_kallimos            10010020001402?1000322020402222024412004-20002024042200202242300242?020202252002020210240-20020210000????????????????????????????????????????????22000-00-?00000202022002422000000??2??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????2?6???????????????????????????????????????
Asiadapis_cambayensis        ????????????????????22???4002202268110042200020220000022A46421002022442222152?02224400051424001210100????????????????????????0200200000000000202402022000-000100002020400102220200??0??????????????????????????????2400042404004??11211?10???????????????????????????????001?00022000240?????????????????????????????????????????????????????????????????????????????????????????????
Aycrossia_lovei              100040?0?11?20?0001222???4?0220220212004-200220240442100262243202026442412452010224400142432200210023?????????????2?04?12212022022000000??00?4?2?020140-0-02?200201010402004210300???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Bahinia_pondaungensis        1?000000001204?1000322020?0022222?810--4-200020222000000464441022000442402????????????0?4112020210000???????????0100122120100000020002000?000?12202204-00-000000004020312420?????0??4????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????0??02?????03???2?????1??????????????
Biretia_fayumensis           ?????????????????????????40022202??12004-20404?240?2?0006?42210222002222021-2001222220240-30020210021???????????????????010??0420220001000200212?0?010000-000400200022002402?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Biretia_megalopsis           ????????????????0???22000400222006813104-20013?1402200009?5321012222222212121002212220341130020210020?????????????????????????????00002000200012?02020000-00340020002200241320020???2????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Branisella_boliviana         1?0????0001?02110?032202042200-226404224-4?02?42201200000006???20404???2020-2?03?20500260-0202?210020???????????????1??12???02400002000200000011002000-00-003000200020002442000022??4???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????1????????????????????????
Bugtipithecus_inexpectans    ???????????????????????????????????12004-200424020?200006?440-022402-62202????????????2?0-14200210020????????????????????????2200???000??????????0?200-00-400000002040000400?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Caenopithecus_lemuroides     ??0?????????????????22000400222226612004-202000420220000A26C0-002422-524200-2022244400220-22000210042????????????????????????000?200020001000212002020000-200200244040210220220402??2??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????1?????????????????????????????????????0?????????041??2????????????????????
Cantius_abditus              10000002201202?00?03000204002202246120021201220222000010840C33002135442432253022234500102433200410021?????????????200?00121002400201020101010412202120000-04420021402000030021020002201???0?42??302400?40004???????3402042?0400?5111???200??????33?0????????????????0440??00????0????0211??????????00?00????2????1?00????320001000?1??1?????????01?????????03?????????1????????????0?
Carpolestes_simpsoni         1?02804441004002001024-------------10--4000400242022[13]200AA5040002046-6231244202022-60000241400041002010400042-1420-----1221000422202002020212202600022000-02041220402030000022040002401???0040003020200200444???01?20202024000106400000200000000200121002?0000?26020004002014210000000403????1000000020202003?20000?021???01?10000?0???00?1000??0010021????03?0??0?0201????????????0?
Catopithecus_browni          1000101000100220000324---2002222057142221402234220110000[35]318210104000222010-2000220210150-1202121002012210400002012010613---02200200010200000412202102-00-00000000302120242220020020202???????03322020202102???????4413244400213?????????????000111?210202001????????????2002[13]100000204????????????000022?21?????1?0?20??20211???????111??12?6??10??12?????03440210?001??????????????
Cheirogaleus_major           101041424112000110342205141020-116611004-20432[13]20311400062360-002403-624320-2?0323-600050-332202100220241042010021410021221200000220000100000102001004--0-0030002010304004223002000000155320440010142024100431?10112203041302004202101040010101123212102210010226020244010003[13]0002[13]002011004110040000101221032200100020114100002000010101220020001010010400051102010201?000000000000?
Darwinius_masillae           1?0???0200??0???????22?0????????????????????????????0?????4C0-002220-624320-402022-6000??????????0030???????02???1?????12????????????????????????2?020000-?000000?4??????420?????20?0022?4?0?2?2?????????0??4???00????????????????110??4??10??????????????????224010?????????????????2????00?20?2?0??????????????????????????????????????????????1?????????041100????????????????????
Djebelemur_martinezi         ????????????????????22???40022022?810--4-002020220202002A2600-022246-624220-200222-600040-22200210020????????????????????????????????????????????????????????????????????????????0??0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Dolichocebus_gaimanensis     1?00?00???140220?0032202?4?220-02??04204-20??4?2200??0002?2C210224220402220-20030204312?????????10020?2?2020?00???2?122?211?00220002100200210011042?20000-200000000000000420422?2??????????????????????????????????????????????????????????????????????????????????????????????????????????????????0????2?2???0??1?0020??202111111?0-1110????4??10??122?????044?210???0??????????????
Donrussellia_gallica         ???????????????????????????????????12002120202?122?0?000A?62430020464424324220022244000?2112200210020?????????????????????????????00020000000212?0?0240-0-000100203020400320?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Donrussellia_provincialis    ??0????0????????????00???420220202612004-201110432000000A66243002036442412342011224400012313200210020?????????????????????????????02000000000212?020240-0-012200202020400010200200??0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Dyseolemur_pacificus         10006?20?1??00?0000?220??4?022020?6120021202220222242120220241202220442440422020224400302112000210043?2220040-00?10?0421231022220200020000200012000022020-023400204010201300200200???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Eosimias_centennicus         11000000001004?00003220004002222052120020200000120222120646043002020242422432020223400024110220210000???????????????02???????2200?0002000?00041??02004--0-000000204?0041?400?????040401????????????????????????????2202212402114?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Eosimias_sinensis_noMTI      ??0?????????????????22???????22????11004-200000220?200206040430220024424224420022044000??????????0000????????????????????????????????????????????????????????????????????????????0??0??????????????????????????????1[13]022124011125311022500???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Eosimias_sinensis_MTI        ??0?????????????????22???????22????11004-200000220?200206040430220024424224420022044000??????????0000????????????????????????????????????????????????????????????????????????????0??0??????????????????????????????1[13]022124011125311022500???11123212????1?01????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Europolemur_klatti           1?000002001002?0020320?00420220206812004-2020202-0000000A66A0-002224-624220-202222-600220-22000210020??400400204?14?0?21121002?00200020001000412?0?020000-000000004020002300420200??202??????????????????????????????0004?2000??201101?20???????????????????????????????????????????????????????????0?????0?2?????????????????????????????2?????????????????31?0?????????????????????
Galago_moholi                1010414241120001103422040420322204812004-20014440422400086420-022000-624020-201022-600040-1100021000000000020000214100211212021002001020202006321010200142100101201020010040210000100016641044001024202211240111011610004210200102210116002110112321211221001021812113200221031120400201000320006000020024001420?100020114000?020200?1120220001011?1012002111120001020000000??????00?
Galagoides_demidoff          1010414241120001103422050301222215813104-30004440232400073500-022010-624020-201022-600030-120102100100000012000111410121121202220200102020202632201020024120020220002001004022010010001464004200102420220004212101141010421020020221011600211111232121122100102081201320022103112040020100032110600001012410121011000201140000020200?112022000101101012002103110101122000000000000000
Godinotia_neglecta           1?00??020?1?0???0?032??0?4???202???1???4-??2??22??00000???????????22-6222?????????????2??????00210?????????????????????12?10??20??000200010002?2?0?022000-0000000000?020?0022?0?00???02????042003?2420?40004???1??????????????????????????????????????????????????1????????????????????1?????????????????????????????????????????????????????????????????????1???????????????????????
Hemiacodon_gracilis          110160?43?1320?20??122000400220224814224-402240022222020604643102221242442444022222400222122000310024???????????2?2?00212???12201200020000000212012132020-022411204020201000340300???????????????02020220024??????13100032202110041112040020001133212102210011?????10221221104?1212000010???????2????????????????????????????????????????????????????????????????????????????????????
Hoanghonius_stehlini         1?00202??0140??2010320020410120123512004-204330330000020A45A430012024023420-2002224010030-22001210020?????????????4?0021121???000200010000000102?4?222020-000200214002?00400420?0???0?????????????????????????????????????????????????????????112320?????1?01????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Karanisia_clarki             ??1???424????0?1103422???40022222??10--4-20202002020?022806410012222-6243210202222-600121023100210020????????????????????????2200200020100000012?0?0220020000000104040300420400?00??2????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Komba_robustus               ????????????????????22???????22????12004-20224220240?000A2450-022022-624000-202122-600020-22000210010?????????????????????????????200000002004320020200242100000100020011040????????0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
