,FAD,LAD
Sivapithecus_meteai,11.1,9.7
Sivapithecus_parvada,10,10
Smilodectes_gracilis,50.3,46.2
Smilodectes_mcgrewi,50.3,46.2
Smilodectes_sororis,50.3,46.2
Soriacebus_adrianae,23.03,15.97
Soriacebus_ameghinorum,23.03,15.97
Sphacorhysis_burntforkensis,50.3,46.2
Steinius_vespertinus,55.8,50.3
Stirtonia_tatacoensis,13.8,11.8
Stirtonia_victoriae,13.8,11.8
Stockia_powayensis,46.2,40.4
Strigorhysis_bridgerensis,55.8,50.3
Subengius_mengi,58.7,55.8
Symphalangus_syndactylus,0,0
Talahpithecus_parvus,48.6,33.9
Tarka_stylifera,46.2,40.4
Tarkadectes_montanensis,46.2,40.4
Tarkops_mckennai,48.6,37.2
Tarsius_dentatus,0,0
Tarsius_fuscus,0,0
Tarsius_lariang,0,0
Tarsius_sangirensis,0,0
Tarsius_sirindhornae,13.65,12.75
Tarsius_tarsier,0,0
Tarsius_wallacei,0,0
Teilhardina_americana,55.8,50.3
Teilhardina_asiatica,55.8,48.6
Teilhardina_belgica,56,47.8
Teilhardina_brandti,55.8,50.3
Teilhardina_crassidens,55.8,50.3
Teilhardina_demissa,55.8,50.3
Teilhardina_magnoliana,55.8,50.3
Teilhardina_tenuicula,55.8,50.3
Tetonius_homunculus,55.8,48.6
Tetonius_matthewi,55.8,50.3
Tetonius_mckennai,55.8,50.3
Tetonoides_pearcei,55.8,50.3
Theropithecus_gelada,0,0
Theropithecus_oswaldi,2.588,0.126
Theropithecus_sp_M2974_et_MP44_et_MP217_et_MP222_et_NME_AL_58_dash_23_et_134_dash_5_et_142_dash_19_et_144_dash_1_et_153_dash_14_et_163_dash_11_et_186_dash_17_et_187_dash_10_et_196_dash_3_et_205_dash_1_et_208_dash_10_et_321_dash_12_et_416_dash_2,3.5,2.4
TheropithecusOmopithecus_baringensis,3,2
TheropithecusOmopithecus_brumpti,5.333,3.6
Tinimomys_graybulliensis,56.8,55.8
Torrejonia_wilsoni,63.3,61.7
Trachypithecus_auratus,0,0
Trachypithecus_barbei,0,0
Trachypithecus_crepusculus,0,0
Trachypithecus_cristatus,0,0
Trachypithecus_delacouri,0,0
Trachypithecus_francoisi,0,0
Trachypithecus_geei,0,0
Trachypithecus_germaini,0,0
Trachypithecus_hatinhensis,0,0
Trachypithecus_laotum,0,0
Trachypithecus_mauritius,0,0
Trachypithecus_obscurus,0,0
Trachypithecus_phayrei,0,0
Trachypithecus_pileatus,0,0
Trachypithecus_poliocephalus,0,0
Tremacebus_harringtoni,21,17.5
Trogolemur_amplior,55.8,50.3
Trogolemur_fragilis,50.3,46.2
Trogolemur_myodes,55.8,50.3
Turkanapithecus_kalakolensis,20.44,15.97
Ucayalipithecus_perdita,37.2,33.9
Uintanius_ameghini,50.3,46.2
Uintanius_rutherfurdi,50.3,46.2
Utahia_carina,50.3,46.2
Utahia_kayi,50.3,46.2
Varecia_rubra,0,0
Varecia_variegata,0,0
Vectipithex_quaylei,41.3,38
Vectipithex_raabi,47.8,41.3
Vectipithex_smithorum,38,33.9
Vectipithex_ulmensis,38,33.9
Victoriapithecus_macinnesi,22.4,20
Wadilemur_elegans,33.9,28.1
Wailekia_orientale,37.2,33.9
Walshina_esmaraldensis,46.2,40.4
Walshina_mcgrewi,50.3,46.2
Walshina_shifrae,46.2,40.4
Washakius_insignis,55.8,50.3
Washakius_woodringi,46.2,40.4
Xanthorhysis_tabrumi,48.6,37.2
Xenothrix_mcgregori,0.001511,0.001443
Yaquius_travisi,46.2,40.4
Yunnanadapis_folivorus,33.9,28.4
